"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 21 12:25:58 GMT 2024","Wed Feb 21 12:26:00 GMT 2024","1993","","jUnit.JUnitSimpleTest","","jUnit.JUnitSimpleTest","productSiteUrlShouldBePresentInResultsOfSearchInGoggleByProductNameQuery","productSiteUrlShouldBePresentInResultsOfSearchInGoggleByProductNameQuery(String, String) Адрес https://qameta.io должен быть в выдаче гугла по запросу Allure testops",""
"passed","Wed Feb 21 12:26:04 GMT 2024","Wed Feb 21 12:26:04 GMT 2024","0","","NewTest","","NewTest","newTest","newTest()",""
"passed","Wed Feb 21 12:26:08 GMT 2024","Wed Feb 21 12:26:13 GMT 2024","4174","","demoqa.AutomationPracticeFormWithJavaFakerTestCase","","demoqa.AutomationPracticeFormWithJavaFakerTestCase","fillFormTest","fillFormTest()",""
"passed","Wed Feb 21 12:25:57 GMT 2024","Wed Feb 21 12:25:58 GMT 2024","1290","","jUnit.JUnitSimpleTest","","jUnit.JUnitSimpleTest","productSiteUrlShouldBePresentInResultsOfSearchInGoggleByProductNameQuery","productSiteUrlShouldBePresentInResultsOfSearchInGoggleByProductNameQuery(String, String) Адрес https://selenide.org должен быть в выдаче гугла по запросу Selenide",""
"passed","Wed Feb 21 12:25:55 GMT 2024","Wed Feb 21 12:25:56 GMT 2024","550","","jUnit.JUnitSimpleTest","","jUnit.JUnitSimpleTest","simpleTest","Демонстрационный тест",""
"passed","Wed Feb 21 12:26:26 GMT 2024","Wed Feb 21 12:26:26 GMT 2024","676","","files.FilesParsingTest","","files.FilesParsingTest","xlsParseTest","xlsParseTest()",""
"passed","Wed Feb 21 12:25:28 GMT 2024","Wed Feb 21 12:25:35 GMT 2024","6363","","gitHub.SelenideRepositorySearch","","gitHub.SelenideRepositorySearch","shouldFindSelenideRepositoryAtTheTop","shouldFindSelenideRepositoryAtTheTop()",""
"passed","Wed Feb 21 12:26:03 GMT 2024","Wed Feb 21 12:26:04 GMT 2024","1452","","jUnit.JUnitSimpleTest","","jUnit.JUnitSimpleTest","searchResultsCountTest","searchResultsCountTest(String) Адрес {1} должен быть в выдаче гугла по запросу Selenide",""
"passed","Wed Feb 21 12:26:21 GMT 2024","Wed Feb 21 12:26:26 GMT 2024","4373","","files.FilesParsingTest","","files.FilesParsingTest","pdfParseTest","pdfParseTest()",""
"passed","Wed Feb 21 12:26:18 GMT 2024","Wed Feb 21 12:26:19 GMT 2024","1469","","files.SelenideFilesTest","","files.SelenideFilesTest","selenideUploadFile","selenideUploadFile()",""
"passed","Wed Feb 21 12:26:35 GMT 2024","Wed Feb 21 12:26:35 GMT 2024","516","","allure.AttachmentsTest","","allure.AttachmentsTest","testLambdaAttachments","testLambdaAttachments()",""
"passed","Wed Feb 21 12:25:36 GMT 2024","Wed Feb 21 12:25:46 GMT 2024","9331","","SearchTests","","SearchTests","testAlfa","testAlfa()",""
"passed","Wed Feb 21 12:26:21 GMT 2024","Wed Feb 21 12:26:21 GMT 2024","44","","files.FilesParsingTest","","files.FilesParsingTest","jsonParseImprovedTest","jsonParseImprovedTest()",""
"passed","Wed Feb 21 12:26:26 GMT 2024","Wed Feb 21 12:26:30 GMT 2024","3927","","allure.SelenideTest","","allure.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Wed Feb 21 12:26:30 GMT 2024","Wed Feb 21 12:26:33 GMT 2024","2228","","allure.StepsTest","","allure.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Wed Feb 21 12:26:15 GMT 2024","Wed Feb 21 12:26:18 GMT 2024","2477","","demoqa.AutomationPracticeFormWithRandomUtilsTestCase","","demoqa.AutomationPracticeFormWithRandomUtilsTestCase","fillFormTest","fillFormTest()",""
